1420,g,auth0|5c9ba18e2fe33611070addb4,fts_admin_article_editors,
1428,g,auth0|5ee7cae48a418c0013838573,standard_users,
1438,g,auth0|5eea1b258a418c0013ac5c60,standard_users,
1448,g,auth0|5ee9f56f18e6d30019f86356,deutsche_bank_users,
1456,g,auth0|5eeb5428860ea2001927c33d,deutsche_bank_users,
1472,g,auth0|5d5c016d95e9860c86e169ec,fts_users,
1483,g,auth0|5ef0e5392fbfe600192419f1,standard_users,
173,p,public_source_full_text,source__full_text-2593788,read
175,p,public_source_full_text,source__full_text-3696936,read
178,p,public_source_full_text,source__full_text-6623517,read
182,p,public_source_full_text,source__full_text-3675235,read
183,p,public_source_full_text,source__full_text-3665718,read
185,p,public_source_full_text,source__full_text-3671329,read
187,p,admin_authorization,authorization_role-*,read
189,p,admin_authorization,authorization_role-*,delete
192,p,admin_authorization,authorization_group-*,delete
1490,g,auth0|5ef2175d43fd5200130314d8,standard_users,
196,p,public_source_full_text,source__full_text-3640567,read
198,g2,fts_admin_article_editors,admin_article_editor,
1503,g,auth0|5ef424c7c5e81c00136c0b7a,standard_users,
1509,g,linkedin|c5Z80ASNy9,standard_users,
206,g2,fts_nlp_users,ner_tagger,
208,p,ner_tagger,ner_tag-*,read
210,g,auth0|5d029b38b8179e0e3eaa2f18,fts_nlp_users,
214,g2,fts_users,partner_publisher,
216,g2,fts_users,partner_crm,
1522,p,workflow_rh_newsletter,article_workflow_states__workflows-42,delete
218,g2,fts_users,partner_symphony,
220,g,auth0|5d0b90c7a294ec0e005754ac,jpmc_lrcm_users,
1526,g,auth0|5ef6004ea1c69c001970df51,standard_users,
1545,g,samlp|JPMC|I731908,standard_users,
233,g,auth0|5d19f87648a3fa0d476b66ed,jpmc_lrcm_users,
235,g2,fts_admins,admin_entity_editor,
237,p,admin_entity_editor,entity_verification-*,read
239,p,admin_entity_editor,entity_verification-*,delete
242,g,auth0|5d2eeffe30189e0dbb472038,jpmc_lrcm_users,
5,p,admin_authorization,authorization_policy-*,read
6,p,admin_authorization,authorization_policy-*,write
48,p,admin_authorization,authorization_policy-*,delete
55,g2,fts_admins,admin_authorization,
56,g,auth0|5c9ba18e2fe33611070addb4,fts_admins,
